Seconds,FlowRate
172800,165
190800,330
194400,580
195480,616
198000,580
201600,505
204120,435
205200,435
208800,501
212400,472
216000,454
218160,1090
219600,1470
221760,1870
223200,2020
224640,2040
225360,2040
226080,2020
226800,2020
227880,2040
228240,2050
230400,2070
234000,2220
237600,2280
241200,2410
244800,2470
246600,2470
248400,2490
252000,2530
259200,2700
261000,2700
262800,2640
266400,2480
273600,2200
280800,1860
295200,1380
302400,1150
309600,992
316800,843
331200,697
370800,347
381600,291
432000,177
489600,113
