Datetime,SecondsFromBeginning,HX_flowsignal,XF_flowsignal,PL_flowsignal,CW_flowsignal,Totalflow
1970-08-03 00:01:00,60,0,0,0,0,0
1970-08-03 00:02:00,120,0,0,0,0,0
1970-08-03 00:03:00,180,0,0,0,0,0
1970-08-03 00:04:00,240,0,0,0,0,0
1970-08-03 00:05:00,300,0,0,0,0,0
1970-08-03 00:06:00,360,0,0,0,0,0
1970-08-03 00:07:00,420,0,0,0,0,0
1970-08-03 00:08:00,480,0,0,0,0,0
1970-08-03 00:09:00,540,0,0,0,0,0
1970-08-03 00:10:00,600,0,0,0,0,0
1970-08-03 00:11:00,660,0,0,0,0,0
1970-08-03 00:12:00,720,0,0,0,0,0
1970-08-03 00:13:00,780,0,0,0,0,0
1970-08-03 00:14:00,840,0,0,0,0,0
1970-08-03 00:15:00,900,0,0,0,0,0
1970-08-03 00:16:00,960,0,0,0,0,0
1970-08-03 00:17:00,1020,0,0,0,0,0
1970-08-03 00:18:00,1080,0,0,0,0,0
1970-08-03 00:19:00,1140,0,0,0,0,0
1970-08-03 00:20:00,1200,0,0,0,0,0
1970-08-03 00:21:00,1260,0,0,0,0,0
1970-08-03 00:22:00,1320,0,0,0,0,0
1970-08-03 00:23:00,1380,0,0,0,0,0
1970-08-03 00:24:00,1440,0,0,0,0,0
1970-08-03 00:25:00,1500,0,0,0,0,0
1970-08-03 00:26:00,1560,0,0,0,0,0
1970-08-03 00:27:00,1620,0,0,0,0,0
1970-08-03 00:28:00,1680,0,0,0,0,0
1970-08-03 00:29:00,1740,0,0,0,0,0
1970-08-03 00:30:00,1800,0,0,0,0,0
1970-08-03 00:31:00,1860,0,0,0,0,0
1970-08-03 00:32:00,1920,0,0,0,0,0
1970-08-03 00:33:00,1980,0,0,0,0,0
1970-08-03 00:34:00,2040,0,0,0,0,0
1970-08-03 00:35:00,2100,0,0,0,0,0
1970-08-03 00:36:00,2160,0,0,0,0,0
1970-08-03 00:37:00,2220,0,0,0,0,0
1970-08-03 00:38:00,2280,0,0,0,0,0
1970-08-03 00:39:00,2340,0,0,0,0,0
1970-08-03 00:40:00,2400,0,0,0,0,0
1970-08-03 00:41:00,2460,0,0,0,0,0
1970-08-03 00:42:00,2520,0,0,0,0,0
1970-08-03 00:43:00,2580,0,0,0,0,0
1970-08-03 00:44:00,2640,0,0,0,0,0
1970-08-03 00:45:00,2700,0,0,0,0,0
1970-08-03 00:46:00,2760,0,0,0,0,0
1970-08-03 00:47:00,2820,0,0,0,0,0
1970-08-03 00:48:00,2880,0,0,0,0,0
1970-08-03 00:49:00,2940,0,0,0,0,0
1970-08-03 00:50:00,3000,0,0,0,0,0
1970-08-03 00:51:00,3060,0,0,0,0,0
1970-08-03 00:52:00,3120,0,0,0,0,0
1970-08-03 00:53:00,3180,0,0,0,0,0
1970-08-03 00:54:00,3240,0,0,0,0,0
1970-08-03 00:55:00,3300,0,0,0,0,0
1970-08-03 00:56:00,3360,0,0,0,0,0
1970-08-03 00:57:00,3420,0,0,0,0,0
1970-08-03 00:58:00,3480,0,0,0,0,0
1970-08-03 00:59:00,3540,0,0,0,0,0
1970-08-03 01:00:00,3600,0,0,0,0,0
1970-08-03 01:01:00,3660,0,0,0,0,0
1970-08-03 01:02:00,3720,0,0,0,0,0
1970-08-03 01:03:00,3780,0,0,0,0,0
1970-08-03 01:04:00,3840,0,0,0,0,0
1970-08-03 01:05:00,3900,0,0,0,0,0
1970-08-03 01:06:00,3960,0,0,0,0,0
1970-08-03 01:07:00,4020,0,0,0,0,0
1970-08-03 01:08:00,4080,0,0,0,0,0
1970-08-03 01:09:00,4140,0,0,0,0,0
1970-08-03 01:10:00,4200,0,0,0,0,0
1970-08-03 01:11:00,4260,0,0,0,0,0
1970-08-03 01:12:00,4320,0,0,0,0,0
1970-08-03 01:13:00,4380,0,0,0,0,0
1970-08-03 01:14:00,4440,0,0,0,0,0
1970-08-03 01:15:00,4500,0,0,0,0,0
1970-08-03 01:16:00,4560,0,0,0,0,0
1970-08-03 01:17:00,4620,0,0,0,0,0
1970-08-03 01:18:00,4680,0,0,0,0,0
1970-08-03 01:19:00,4740,0,0,0,0,0
1970-08-03 01:20:00,4800,0,0,0,0,0
1970-08-03 01:21:00,4860,0,0,0,0,0
1970-08-03 01:22:00,4920,0,0,0,0,0
1970-08-03 01:23:00,4980,0,0,0,0,0
1970-08-03 01:24:00,5040,0,0,0,0,0
1970-08-03 01:25:00,5100,0,0,0,0,0
1970-08-03 01:26:00,5160,0,0,0,0,0
1970-08-03 01:27:00,5220,0,0,0,0,0
1970-08-03 01:28:00,5280,0,0,0,0,0
1970-08-03 01:29:00,5340,0,0,0,0,0
1970-08-03 01:30:00,5400,0,0,0,0,0
1970-08-03 01:31:00,5460,0,0,0,0,0
1970-08-03 01:32:00,5520,0,0,0,0,0
1970-08-03 01:33:00,5580,0,0,0,0,0
1970-08-03 01:34:00,5640,0,0,0,0,0
1970-08-03 01:35:00,5700,0,0,0,0,0
1970-08-03 01:36:00,5760,0,0,0,0,0
1970-08-03 01:37:00,5820,0,0,0,0,0
1970-08-03 01:38:00,5880,0,0,0,0,0
1970-08-03 01:39:00,5940,0,0,0,0,0
1970-08-03 01:40:00,6000,0,0,0,0,0
1970-08-03 01:41:00,6060,0,0,0,0,0
1970-08-03 01:42:00,6120,0,0,0,0,0
1970-08-03 01:43:00,6180,0,0,0,0,0
1970-08-03 01:44:00,6240,0,0,0,0,0
1970-08-03 01:45:00,6300,0,0,0,0,0
1970-08-03 01:46:00,6360,0,0,0,0,0
1970-08-03 01:47:00,6420,0,0,0,0,0
1970-08-03 01:48:00,6480,0,0,0,0,0
1970-08-03 01:49:00,6540,0,0,0,0,0
1970-08-03 01:50:00,6600,0,0,0,0,0
1970-08-03 01:51:00,6660,0,0,0,0,0
1970-08-03 01:52:00,6720,0,0,0,0,0
1970-08-03 01:53:00,6780,0,0,0,0,0
1970-08-03 01:54:00,6840,0,0,0,0,0
1970-08-03 01:55:00,6900,0,0,0,0,0
1970-08-03 01:56:00,6960,0,0,0,0,0
1970-08-03 01:57:00,7020,0,0,0,0,0
1970-08-03 01:58:00,7080,0,0,0,0,0
1970-08-03 01:59:00,7140,0,0,0,0,0
1970-08-03 02:00:00,7200,0,0,0,0,0
1970-08-03 02:01:00,7260,0,0,0,0,0
1970-08-03 02:02:00,7320,0,0,0,0,0
1970-08-03 02:03:00,7380,0,0,0,0,0
1970-08-03 02:04:00,7440,0,0,0,0,0
1970-08-03 02:05:00,7500,0,0,0,0,0
1970-08-03 02:06:00,7560,0,0,0,0,0
1970-08-03 02:07:00,7620,0,0,0,0,0
1970-08-03 02:08:00,7680,0,0,0,0,0
1970-08-03 02:09:00,7740,0,0,0,0,0
1970-08-03 02:10:00,7800,0,0,0,0,0
1970-08-03 02:11:00,7860,0,0,0,0,0
1970-08-03 02:12:00,7920,0,0,0,0,0
1970-08-03 02:13:00,7980,0,0,0,0,0
1970-08-03 02:14:00,8040,0,0,0,0,0
1970-08-03 02:15:00,8100,0,0,0,0,0
1970-08-03 02:16:00,8160,0,0,0,0,0
1970-08-03 02:17:00,8220,0,0,0,0,0
1970-08-03 02:18:00,8280,0,0,0,0,0
1970-08-03 02:19:00,8340,0,0,0,0,0
1970-08-03 02:20:00,8400,0,0,0,0,0
1970-08-03 02:21:00,8460,0,0,0,0,0
1970-08-03 02:22:00,8520,0,0,0,0,0
1970-08-03 02:23:00,8580,0,0,0,0,0
1970-08-03 02:24:00,8640,0,0,0,0,0
1970-08-03 02:25:00,8700,0,0,0,0,0
1970-08-03 02:26:00,8760,0,0,0,0,0
1970-08-03 02:27:00,8820,0,0,0,0,0
1970-08-03 02:28:00,8880,0,0,0,0,0
1970-08-03 02:29:00,8940,0,0,0,0,0
1970-08-03 02:30:00,9000,0,0,0,0,0
1970-08-03 02:31:00,9060,0,0,0,0,0
1970-08-03 02:32:00,9120,0,0,0,0,0
1970-08-03 02:33:00,9180,0,0,0,0,0
1970-08-03 02:34:00,9240,0,0,0,0,0
1970-08-03 02:35:00,9300,0,0,0,0,0
1970-08-03 02:36:00,9360,0,0,0,0,0
1970-08-03 02:37:00,9420,0,0,0,0,0
1970-08-03 02:38:00,9480,0,0,0,0,0
1970-08-03 02:39:00,9540,0,0,0,0,0
1970-08-03 02:40:00,9600,0,0,0,0,0
1970-08-03 02:41:00,9660,0,0,0,0,0
1970-08-03 02:42:00,9720,0,0,0,0,0
1970-08-03 02:43:00,9780,0,0,0,0,0
1970-08-03 02:44:00,9840,0,0,0,0,0
1970-08-03 02:45:00,9900,0,0,0,0,0
1970-08-03 02:46:00,9960,0,0,0,0,0
1970-08-03 02:47:00,10020,0,0,0,0,0
1970-08-03 02:48:00,10080,0,0,0,0,0
1970-08-03 02:49:00,10140,0,0,0,0,0
1970-08-03 02:50:00,10200,0,0,0,0,0
1970-08-03 02:51:00,10260,0,0,0,0,0
1970-08-03 02:52:00,10320,0,0,0,0,0
1970-08-03 02:53:00,10380,0,0,0,0,0
1970-08-03 02:54:00,10440,0,0,0,0,0
1970-08-03 02:55:00,10500,0,0,0,0,0
1970-08-03 02:56:00,10560,0,0,0,0,0
1970-08-03 02:57:00,10620,0,0,0,0,0
1970-08-03 02:58:00,10680,0,0,0,0,0
1970-08-03 02:59:00,10740,0,0,0,0,0
1970-08-03 03:00:00,10800,0,0,0,0,0
1970-08-03 03:01:00,10860,0,0,0,0,0
1970-08-03 03:02:00,10920,0,0,0,0,0
1970-08-03 03:03:00,10980,0,0,0,0,0
1970-08-03 03:04:00,11040,0,0,0,0,0
1970-08-03 03:05:00,11100,0,0,0,0,0
1970-08-03 03:06:00,11160,0,0,0,0,0
1970-08-03 03:07:00,11220,0,0,0,0,0
1970-08-03 03:08:00,11280,0,0,0,0,0
1970-08-03 03:09:00,11340,0,0,0,0,0
1970-08-03 03:10:00,11400,0,0,0,0,0
1970-08-03 03:11:00,11460,0,0,0,0,0
1970-08-03 03:12:00,11520,0,0,0,0,0
1970-08-03 03:13:00,11580,0,0,0,0,0
1970-08-03 03:14:00,11640,0,0,0,0,0
