Seconds,FlowRate
115200,1.61
150120,1.61
150480,206
150840,936
151920,1720
153720,2210
155520,2390
162000,2280
169200,2090
175320,1790
180000,1700
187200,1480
201600,1100
216000,731
223200,590
244800,484
259200,403
273600,330
280800,316
289440,278
298800,269
313200,250
324000,228
327600,199
