Datetime,HX,XF,PL,CW
1977-07-05,36,53.5,49.3,30.2
1977-07-06,12.9,59.3,38.4,24.2
1977-07-07,4.4,4.3,5.1,0.6
1977-07-08,0.1,3.2,1.2,0.1
1977-07-09,0,0.1,0,0
