Seconds,FlowRate
172800,62.7
180000,43.9
190800,42.1
201600,55.1
202680,57
203040,255
203400,345
204120,550
204480,718
204840,803
205200,853
205920,898
206280,903
207000,940
208080,963
208800,1010
210600,1040
212400,1050
214200,1070
216000,1080
217800,1080
219600,1080
221400,1060
223200,1020
225000,974
226800,946
230400,830
234000,775
235800,764
241200,721
244800,707
248400,697
252000,713
255600,769
255960,822
256320,865
256680,910
257040,974
257400,1040
258120,1220
258480,1300
258840,1350
259200,1430
259920,1590
261360,1900
262080,2160
262800,2280
263160,2410
263520,2430
264600,2650
265320,2650
265680,2670
266040,2700
266400,2730
266760,2790
267840,2890
268560,2910
269640,2980
271800,3140
273600,3200
277200,3200
279000,3200
280800,3080
284400,3080
288000,3050
289800,2920
291600,2820
293040,2650
297000,2560
298800,2510
300600,2500
302400,2470
303120,2520
303480,2620
304200,2650
304560,2670
304920,2700
305640,2760
306000,2790
306360,2900
306720,2940
307080,2960
308520,3150
309600,3270
311400,3490
313200,3760
314280,3790
314640,3850
315000,3860
316800,3860
319320,3860
320400,3860
324000,3850
327600,3790
331200,3670
338400,3000
340200,2650
342000,2600
345600,2430
349200,2130
351360,1880
352800,1850
356400,1770
367200,1200
367560,1190
369000,1170
374400,1060
378000,974
381600,921
383760,867
385200,856
388800,809
392400,784
396000,749
401400,657
403200,627
410400,596
417600,572
421200,539
424800,530
428400,500
