Datetime,HX,XF,PL,CW
1970-08-03,0,0.1,2.5,0
1970-08-04,7.7,0,35.8,0.1
1970-08-05,6.3,51,25,89
1970-08-06,0.1,0.5,0,0
1970-08-07,3.4,3.1,0,7.2
1970-08-08,1.4,4.7,7.4,0.5
1970-08-09,0.1,0,0,0
1970-08-10,0,0,0,0
