Datetime,SecondsFromBeginning,HX_flowsignal,XF_flowsignal,PL_flowsignal,CW_flowsignal,Totalflow
1992-08-08 01:47:00,6420,0,0,0,0,0
1992-08-08 01:48:00,6480,0,0,0,0,0
1992-08-08 01:49:00,6540,0,0,0,0,0
1992-08-08 01:50:00,6600,0,0,0,0,0
1992-08-08 01:51:00,6660,0,0,0,0,0
1992-08-08 01:52:00,6720,0,0,0,0,0
1992-08-08 01:53:00,6780,0,0,0,0,0
1992-08-08 01:54:00,6840,0,0,0,0,0
1992-08-08 01:55:00,6900,0,0,0,0,0
1992-08-08 01:56:00,6960,0,0,0,0,0
1992-08-08 01:57:00,7020,0,0,0,0,0
1992-08-08 01:58:00,7080,0,0,0,0,0
1992-08-08 01:59:00,7140,0,0,0,0,0
1992-08-08 02:00:00,7200,0,0,0,0,0
1992-08-08 02:01:00,7260,0,0,0,0,0
1992-08-08 02:02:00,7320,0,0,0,0,0
1992-08-08 02:03:00,7380,0,0,0,0,0
1992-08-08 02:04:00,7440,0,0,0,0,0
1992-08-08 02:05:00,7500,0,0,0,0,0
1992-08-08 02:06:00,7560,0,0,0,0,0
1992-08-08 02:07:00,7620,0,0,0,0,0
1992-08-08 02:08:00,7680,0,0,0,0,0
1992-08-08 02:09:00,7740,0,0,0,0,0
1992-08-08 02:10:00,7800,0,0,0,0,0
1992-08-08 02:11:00,7860,0,0,0,0,0
1992-08-08 02:12:00,7920,0,0,0,0,0
1992-08-08 02:13:00,7980,0,0,0,0,0
1992-08-08 02:14:00,8040,0,0,0,0,0
1992-08-08 02:15:00,8100,0,0,0,0,0
1992-08-08 02:16:00,8160,0,0,0,0,0
1992-08-08 02:17:00,8220,0,0,0,0,0
1992-08-08 02:18:00,8280,0,0,0,0,0
1992-08-08 02:19:00,8340,0,0,0,0,0
1992-08-08 02:20:00,8400,0,0,0,0,0
1992-08-08 02:21:00,8460,0,0,0,0,0
1992-08-08 02:22:00,8520,0,0,0,0,0
1992-08-08 02:23:00,8580,0,0,0,0,0
1992-08-08 02:24:00,8640,0,0,0,0,0
1992-08-08 02:25:00,8700,0,0,0,0,0
1992-08-08 02:26:00,8760,0,0,0,0,0
1992-08-08 02:27:00,8820,0,0,0,0,0
1992-08-08 02:28:00,8880,0,0,0,0,0
1992-08-08 02:29:00,8940,0,0,0,0,0
1992-08-08 02:30:00,9000,0,0,0,0,0
1992-08-08 02:31:00,9060,0,0,0,0,0
1992-08-08 02:32:00,9120,0,0,0,0,0
1992-08-08 02:33:00,9180,0,0,0,0,0
1992-08-08 02:34:00,9240,0,0,0,0,0
1992-08-08 02:35:00,9300,0,0,0,0,0
1992-08-08 02:36:00,9360,0,0,0,0,0
1992-08-08 02:37:00,9420,0,0,0,0,0
1992-08-08 02:38:00,9480,0,0,0,0,0
1992-08-08 02:39:00,9540,0,0,0,0,0
1992-08-08 02:40:00,9600,0,0,0,0,0
1992-08-08 02:41:00,9660,0,0,0,0,0
1992-08-08 02:42:00,9720,0,0,0,0,0
1992-08-08 02:43:00,9780,0,0,0,0,0
1992-08-08 02:44:00,9840,0,0,0,0,0
1992-08-08 02:45:00,9900,0,0,0,0,0
1992-08-08 02:46:00,9960,0,0,0,0,0
1992-08-08 02:47:00,10020,0,0,0,0,0
1992-08-08 02:48:00,10080,0,0,0,0,0
1992-08-08 02:49:00,10140,0,0,0,0,0
1992-08-08 02:50:00,10200,0,0,0,0,0
1992-08-08 02:51:00,10260,0,0,0,0,0
1992-08-08 02:52:00,10320,0,0,0,0,0
1992-08-08 02:53:00,10380,0,0,0,0,0
1992-08-08 02:54:00,10440,0,0,0,0,0
1992-08-08 02:55:00,10500,0,0,0,0,0
1992-08-08 02:56:00,10560,0,0,0,0,0
1992-08-08 02:57:00,10620,0,0,0,0,0
1992-08-08 02:58:00,10680,0,0,0,0,0
1992-08-08 02:59:00,10740,0,0,0,0,0
1992-08-08 03:00:00,10800,0,0,0,0,0
1992-08-08 03:01:00,10860,0,0,0,0,0
1992-08-08 03:02:00,10920,0,0,0,0,0
1992-08-08 03:03:00,10980,0,0,0,0,0
1992-08-08 03:04:00,11040,0,0,0,0,0
1992-08-08 03:05:00,11100,0,0,0,0,0
1992-08-08 03:06:00,11160,0,0,0,0,0
1992-08-08 03:07:00,11220,0,0,0,0,0
1992-08-08 03:08:00,11280,0,0,0,0,0
1992-08-08 03:09:00,11340,0,0,0,0,0
1992-08-08 03:10:00,11400,0,0,0,0,0
1992-08-08 03:11:00,11460,0,0,0,0,0
1992-08-08 03:12:00,11520,0,0,0,0,0
1992-08-08 03:13:00,11580,0,0,0,0,0
1992-08-08 03:14:00,11640,0,0,0,0,0
1992-08-08 03:15:00,11700,0,0,0,0,0
1992-08-08 03:16:00,11760,0,0,0,0,0
1992-08-08 03:17:00,11820,0,0,0,0,0
1992-08-08 03:18:00,11880,0,0,0,0,0
1992-08-08 03:19:00,11940,0,0,0,0,0
1992-08-08 03:20:00,12000,0,0,0,0,0
1992-08-08 03:21:00,12060,0,0,0,0,0
1992-08-08 03:22:00,12120,0,0,0,0,0
1992-08-08 03:23:00,12180,0,0,0,0,0
1992-08-08 03:24:00,12240,0,0,0,0,0
1992-08-08 03:25:00,12300,0,0,0,0,0
1992-08-08 03:26:00,12360,0,0,0,0,0
1992-08-08 03:27:00,12420,0,0,0,0,0
1992-08-08 03:28:00,12480,0,0,0,0,0
1992-08-08 03:29:00,12540,0,0,0,0,0
1992-08-08 03:30:00,12600,0,0,0,0,0
1992-08-08 03:31:00,12660,0,0,0,0,0
1992-08-08 03:32:00,12720,0,0,0,0,0
1992-08-08 03:33:00,12780,0,0,0,0,0
1992-08-08 03:34:00,12840,0,0,0,0,0
1992-08-08 03:35:00,12900,0,0,0,0,0
1992-08-08 03:36:00,12960,0,0,0,0,0
1992-08-08 03:37:00,13020,0,0,0,0,0
1992-08-08 03:38:00,13080,0,0,0,0,0
1992-08-08 03:39:00,13140,0,0,0,0,0
1992-08-08 03:40:00,13200,0,0,0,0,0
1992-08-08 03:41:00,13260,0,0,0,0,0
1992-08-08 03:42:00,13320,0,0,0,0,0
1992-08-08 03:43:00,13380,0,0,0,0,0
1992-08-08 03:44:00,13440,0,0,0,0,0
1992-08-08 03:45:00,13500,0,0,0,0,0
1992-08-08 03:46:00,13560,0,0,0,0,0
1992-08-08 03:47:00,13620,0,0,0,0,0
1992-08-08 03:48:00,13680,0,0,0,0,0
1992-08-08 03:49:00,13740,0,0,0,0,0
1992-08-08 03:50:00,13800,0,0,0,0,0
1992-08-08 03:51:00,13860,0,0,0,0,0
1992-08-08 03:52:00,13920,0,0,0,0,0
1992-08-08 03:53:00,13980,0,0,0,0,0
1992-08-08 03:54:00,14040,0,0,0,0,0
1992-08-08 03:55:00,14100,0,0,0,0,0
1992-08-08 03:56:00,14160,0,0,0,0,0
1992-08-08 03:57:00,14220,0,0,0,0,0
1992-08-08 03:58:00,14280,0,0,0,0,0
1992-08-08 03:59:00,14340,0,0,0,0,0
1992-08-08 04:00:00,14400,0,0,0,0,0
1992-08-08 04:01:00,14460,0,0,0,0,0
1992-08-08 04:02:00,14520,0,0,0,0,0
1992-08-08 04:03:00,14580,0,0,0,0,0
1992-08-08 04:04:00,14640,0,0,0,0,0
1992-08-08 04:05:00,14700,0,0,0,0,0
1992-08-08 04:06:00,14760,0,0,0,0,0
1992-08-08 04:07:00,14820,0,0,0,0,0
1992-08-08 04:08:00,14880,0,0,0,0,0
1992-08-08 04:09:00,14940,0,0,0,0,0
1992-08-08 04:10:00,15000,0,0,0,0,0
1992-08-08 04:11:00,15060,0,0,0,0,0
1992-08-08 04:12:00,15120,0,0,0,0,0
1992-08-08 04:13:00,15180,0,0,0,0,0
1992-08-08 04:14:00,15240,0,0,0,0,0
1992-08-08 04:15:00,15300,0,0,0,0,0
