Seconds,FlowRate
172800,27.1
176400,27.1
177120,33.5
180000,37.6
183600,45.2
185040,46.3
185400,382
185760,875
186300,1410
186480,1470
187200,1850
187560,1870
187920,1940
188640,2160
189000,2190
189720,2290
190800,2330
191880,2360
192600,2360
194040,2350
194400,2350
194760,2350
196200,2290
198000,2220
201600,1990
207000,1670
212400,1450
216000,1320
219600,1210
223200,1120
224640,1050
225360,1040
232200,902
234000,880
235800,826
237600,793
239400,793
243000,719
244800,719
252000,630
255600,567
259200,550
266400,494
266760,489
268560,474
288000,371
298800,320
309600,281
320400,206
331200,277
342000,224
