Datetime,HX,XF,PL,CW
1973-08-28,0.1,0,0,0
1973-08-29,5.7,15,14.9,4.5
1973-08-30,28,67.1,59.9,64.2
1973-08-31,0.1,0.2,0,0.2
1973-09-01,0.1,0.1,0,0.1
1973-09-02,0.2,0,0.1,0
