V1,V2,V3
1970-08-06 14:05:00,309900,3954.77568332744
1973-08-31 17:18:00,321480,4943.75234182934
1975-07-26 17:18:00,235080,4720.25075221863
1977-07-06 19:06:00,155160,3801.87400521432
1992-08-10 17:18:00,235080,3844.13782188478
1994-07-08 19:06:00,241560,1682.32751757969
1995-08-06 19:06:00,241560,2713.22555028845
1996-07-28 19:06:00,327960,8871.33235315155
1998-05-21 19:06:00,241560,2956.81642081126
