Seconds,FlowRate
172800,43.2
180000,43.2
183600,43.2
185340,83.8
186120,218
186420,426
187200,499
188640,774
190020,982
190800,1020
192540,1120
194400,1170
196140,1230
196560,1250
198000,1250
201600,1250
205200,1250
212400,1180
217440,1100
218520,1100
223200,1060
226800,1060
234000,1060
244800,1130
248400,1120
255600,965
260640,785
262800,764
270000,688
273600,764
277200,1020
282540,1100
288000,1100
298800,1040
309600,932
320400,739
329760,672
330420,682
331200,739
334800,1080
336540,1120
338400,1130
342000,1170
345600,1170
352800,1060
363600,902
370800,845
372540,791
373320,791
374400,785
381600,744
385200,829
388800,1060
389460,1140
390240,1170
392400,1470
396000,1670
397740,1750
399600,1770
403200,1820
406800,1880
410400,1950
413640,2040
414660,2040
417600,2040
428400,1610
432000,1600
435600,1670
439200,1790
450000,2150
451740,2290
457200,2380
457560,2380
458280,2380
458940,2380
459720,2330
460800,2310
468000,1810
471600,1530
478800,1310
482400,1270
486000,1320
489600,1310
496800,1220
500400,1170
504000,1080
514800,851
518400,791
519840,785
525600,693
529200,638
536400,603
538560,558
547200,526
554400,476
558000,476
568800,421
579600,358
590400,337
601200,328
612000,311
622800,298
633600,267
655200,243
676800,231
