Datetime,SecondsFromBeginning,HX_flowsignal,XF_flowsignal,PL_flowsignal,CW_flowsignal,Totalflow
1977-07-05 00:01:00,60,0,0,0,0,0
1977-07-05 00:02:00,120,0,0,0,0,0
1977-07-05 00:03:00,180,0,0,0,0,0
1977-07-05 00:04:00,240,0,0,0,0,0
1977-07-05 00:05:00,300,0,0,0,0,0
1977-07-05 00:06:00,360,0,0,0,0,0
1977-07-05 00:07:00,420,0,0,0,0,0
1977-07-05 00:08:00,480,0,0,0,0,0
1977-07-05 00:09:00,540,0,0,0,0,0
1977-07-05 00:10:00,600,0,0,0,0,0
1977-07-05 00:11:00,660,0,0,0,0,0
1977-07-05 00:12:00,720,0,0,0,0,0
1977-07-05 00:13:00,780,0,0,0,0,0
1977-07-05 00:14:00,840,0,0,0,0,0
1977-07-05 00:15:00,900,0,0,0,0,0
1977-07-05 00:16:00,960,0,0,0,0,0
1977-07-05 00:17:00,1020,0,0,0,0,0
1977-07-05 00:18:00,1080,0,0,0,0,0
1977-07-05 00:19:00,1140,0,0,0,0,0
1977-07-05 00:20:00,1200,0,0,0,0,0
1977-07-05 00:21:00,1260,0,0,0,0,0
1977-07-05 00:22:00,1320,0,0,0,0,0
1977-07-05 00:23:00,1380,0,0,0,0,0
1977-07-05 00:24:00,1440,0,0,0,0,0
1977-07-05 00:25:00,1500,0,0,0,0,0
1977-07-05 00:26:00,1560,0,0,0,0,0
1977-07-05 00:27:00,1620,0,0,0,0,0
1977-07-05 00:28:00,1680,0,0,0,0,0
1977-07-05 00:29:00,1740,0,0,0,0,0
1977-07-05 00:30:00,1800,0,0,0,0,0
1977-07-05 00:31:00,1860,0,0,0,0,0
1977-07-05 00:32:00,1920,0,0,0,0,0
1977-07-05 00:33:00,1980,0,0,0,0,0
1977-07-05 00:34:00,2040,0,0,0,0,0
1977-07-05 00:35:00,2100,0,0,0,0,0
1977-07-05 00:36:00,2160,0,0,0,0,0
1977-07-05 00:37:00,2220,0,0,0,0,0
1977-07-05 00:38:00,2280,0,0,0,0,0
1977-07-05 00:39:00,2340,0,0,0,0,0
1977-07-05 00:40:00,2400,0,0,0,0,0
1977-07-05 00:41:00,2460,0,0,0,0,0
1977-07-05 00:42:00,2520,0,0,0,0,0
1977-07-05 00:43:00,2580,0,0,0,0,0
1977-07-05 00:44:00,2640,0,0,0,0,0
1977-07-05 00:45:00,2700,0,0,0,0,0
1977-07-05 00:46:00,2760,0,0,0,0,0
1977-07-05 00:47:00,2820,0,0,0,0,0
1977-07-05 00:48:00,2880,0,0,0,0,0
1977-07-05 00:49:00,2940,0,0,0,0,0
1977-07-05 00:50:00,3000,0,0,0,0,0
1977-07-05 00:51:00,3060,0,0,0,0,0
1977-07-05 00:52:00,3120,0,0,0,0,0
1977-07-05 00:53:00,3180,0,0,0,0,0
1977-07-05 00:54:00,3240,0,0,0,0,0
