Datetime,HX,XF,PL,CW
1996-07-25,2.8,0.3,0,0
1996-07-26,41.7,12.6,17.7,14.5
1996-07-27,86.1,66,166.9,13.3
1996-07-28,3.8,23.1,1.9,38
